PRESIDENT,BIRTH DATE,BIRTH PLACE,DEATH DATE,LOCATION OF DEATH,year_of_birth,lived_years,lived_months,lived_days
George Washington,"Feb 22, 1732","Westmoreland Co., Va.","Dec 14, 1799","Mount Vernon, Va.", 1732,67,813,24767
John Adams,"Oct 30, 1735","Quincy, Mass.","July 4, 1826","Quincy, Mass.", 1735,90,1088,33119
Thomas Jefferson,"Apr 13, 1743","Albemarle Co., Va.","July 4, 1826","Albemarle Co., Va.", 1743,83,998,30397
James Madison,"Mar 16, 1751","Port Conway, Va.","June 28, 1836","Orange Co., Va.", 1751,85,1023,31150
James Monroe,"Apr 28, 1758","Westmoreland Co., Va.","July 4, 1831","New York, New York", 1758,73,878,26729
John Quincy Adams,"July 11, 1767","Quincy, Mass.","Feb 23, 1848","Washington, D.C.", 1767,80,967,29446
Andrew Jackson,"Mar 15, 1767","Waxhaws, No/So Carolina","June 8, 1845","Nashville, Tennessee", 1767,78,938,28574
Martin Van Buren,"Dec 5, 1782","Kinderhook, New York","July 24, 1862","Kinderhook, New York", 1782,79,955,29085
William Henry Harrison,"Feb 9, 1773","Charles City Co., Va.","Apr 4, 1841","Washington, D.C.", 1773,68,817,24890
John Tyler,"Mar 29, 1790","Charles City Co., Va.","Jan 18, 1862","Richmond, Va.", 1790,71,861,26227
James K. Polk,"Nov 2, 1795","Mecklenburg Co., N.C.","June 15, 1849","Nashville, Tennessee", 1795,53,643,19583
Zachary Taylor,"Nov 24, 1784","Orange County, Va.","July 9, 1850","Washington, D.C", 1784,65,787,23967
Millard Fillmore,"Jan 7, 1800","Cayuga Co., New York","Mar 8, 1874","Buffalo, New York", 1800,74,890,27088
Franklin Pierce,"Nov 23, 1804","Hillsborough, N.H.","Oct 8, 1869","Concord, New Hamp.", 1804,64,778,23695
James Buchanan,"Apr 23, 1791","Cove Gap, Pa.","June 1, 1868","Lancaster, Pa.", 1791,77,925,28163
Abraham Lincoln,"Feb 12, 1809","LaRue Co., Kentucky","Apr 15, 1865","Washington, D.C.", 1809,56,674,20516
Andrew Johnson,"Dec 29, 1808","Raleigh, North Carolina","July 31, 1875","Elizabethton, Tenn.", 1808,66,799,24320
Ulysses S. Grant,"Apr 27, 1822","Point Pleasant, Ohio","July 23, 1885","Wilton, New York", 1822,63,758,23098
Rutherford B. Hayes,"Oct 4, 1822","Delaware, Ohio","Jan 17, 1893","Fremont, Ohio", 1822,70,843,25673
James A. Garfield,"Nov 19, 1831","Cuyahoga Co., Ohio","Sep 19, 1881","Elberon, New Jersey", 1831,49,598,18202
Chester Arthur,"Oct 5, 1829","Fairfield, Vermont","Nov 18, 1886","New York, New York", 1829,57,685,20863
Grover Cleveland,"Mar 18, 1837","Caldwell, New Jersey","June 24, 1908","Princeton, New Jersey", 1837,71,855,26030
Benjamin Harrison,"Aug 20, 1833","North Bend, Ohio","Mar 13, 1901","Indianapolis, Indiana", 1833,67,810,24676
William McKinley,"Jan 29, 1843","Niles, Ohio","Sep 14, 1901","Buffalo, New York", 1843,58,703,21412
Theodore Roosevelt,"Oct 27, 1858","New York, New York","Jan 6, 1919","Oyster Bay, New York", 1858,60,722,21985
William Howard Taft,"Sep 15, 1857","Cincinnati, Ohio","Mar 8, 1930","Washington, D.C.", 1857,72,869,26471
Woodrow Wilson,"Dec 28, 1856","Staunton, Virginia","Feb 3, 1924","Washington, D.C.", 1856,67,805,24507
Warren G. Harding,"Nov 2, 1865","Morrow County, Ohio","Aug 2, 1923","San Francisco, Cal.", 1865,57,693,21091
Calvin Coolidge,"July 4, 1872","Plymouth, Vermont","Jan 5, 1933","Northampton, Mass.", 1872,60,726,22099
Herbert Hoover,"Aug 10, 1874","West Branch, Iowa","Oct 20, 1964","New York, New York", 1874,90,1082,32943
Franklin Roosevelt,"Jan 30, 1882","Hyde Park, New York","Apr 12, 1945","Warm Springs, Ga.", 1882,63,758,23082
Harry S. Truman,"May 8, 1884","Lamar, Missouri","Dec 26, 1972","Kansas City, Missouri", 1884,88,1063,32373
Dwight Eisenhower,"Oct 14, 1890","Denison, Texas","Mar 28, 1969","Washington, D.C.", 1890,78,941,28654
John F. Kennedy,"May 29, 1917","Brookline, Mass.","Nov 22, 1963","Dallas, Texas", 1917,46,557,16978
Lyndon B. Johnson,"Aug 27, 1908","Gillespie Co., Texas","Jan 22, 1973","Gillespie Co., Texas", 1908,64,772,23524
Richard Nixon,"Jan 9, 1913","Yorba Linda, Cal.","Apr 22, 1994","New York, New York", 1913,81,975,29688
Gerald Ford,"July 14, 1913","Omaha, Nebraska","Dec 26, 2006","Rancho Mirage, Cal.", 1913,93,1121,34133
Jimmy Carter,"Oct 1, 1924","Plains, Georgia",,, 1924,99,1188,36169
Ronald Reagan,"Feb 6, 1911","Tampico, Illinois","June 5, 2004","Los Angeles, Cal.", 1911,93,1119,34088
George Bush,"June 12, 1924","Milton, Mass.","Nov 30, 2018","Houston, Texas", 1924,94,1133,34504
Bill Clinton,"Aug 19, 1946","Hope, Arkansas",,, 1946,77,925,28177
George W. Bush,"July 6, 1946","New Haven, Conn.",,, 1946,77,927,28221
Barack Obama,"Aug 4, 1961","Honolulu, Hawaii",,, 1961,62,746,22713
Donald Trump,"June 14, 1946","New York, New York",,, 1946,77,927,28243
Joe Biden,"Nov 20, 1942","Scranton, Pa.",,, 1942,80,970,29545
"Reference:
Birthplace, Birthdate, and Death information of the U.S. Presidents. (n.d.). PresidentsUSA.Net. Retrieved September 28, 2021, from https://www.presidentsusa.net/birth.html",,,,
